index,query_image,tiepoint_index,photo_id,manual_label,manual_note
0,0001.jpg,18,13,unlabeled,
1,0001.jpg,76,13,unlabeled,
2,0002.jpg,76,17,unlabeled,
3,0002.jpg,97,17,unlabeled,
4,0001.jpg,100,13,unlabeled,
5,0000.jpg,115,7,unlabeled,
6,0001.jpg,134,13,unlabeled,
7,0000.jpg,160,7,unlabeled,
8,0000.jpg,166,7,unlabeled,
9,0001.jpg,166,13,unlabeled,
10,0000.jpg,167,7,unlabeled,
11,0001.jpg,181,13,unlabeled,
12,0000.jpg,204,7,unlabeled,
13,0000.jpg,214,7,unlabeled,
14,0001.jpg,214,13,unlabeled,
15,0000.jpg,221,7,unlabeled,
16,0001.jpg,249,13,unlabeled,
17,0000.jpg,257,7,unlabeled,
18,0000.jpg,259,7,unlabeled,
19,0001.jpg,267,13,unlabeled,
20,0000.jpg,267,7,unlabeled,
21,0002.jpg,274,17,unlabeled,
22,0002.jpg,284,17,unlabeled,
23,0000.jpg,300,7,unlabeled,
24,0000.jpg,309,7,unlabeled,
25,0000.jpg,314,7,unlabeled,
26,0001.jpg,320,13,unlabeled,
27,0001.jpg,329,13,unlabeled,
28,0000.jpg,369,7,unlabeled,
29,0002.jpg,381,17,unlabeled,
30,0001.jpg,381,13,unlabeled,
31,0000.jpg,390,7,unlabeled,
32,0000.jpg,410,7,unlabeled,
33,0000.jpg,411,7,unlabeled,
34,0000.jpg,422,7,unlabeled,
35,0000.jpg,431,7,unlabeled,
36,0000.jpg,439,7,unlabeled,
37,0000.jpg,442,7,unlabeled,
38,0001.jpg,442,13,unlabeled,
39,0000.jpg,446,7,unlabeled,
40,0000.jpg,464,7,unlabeled,
41,0000.jpg,469,7,unlabeled,
42,0000.jpg,479,7,unlabeled,
43,0000.jpg,497,7,unlabeled,
44,0002.jpg,542,17,unlabeled,
45,0002.jpg,562,17,unlabeled,
46,0001.jpg,729,13,unlabeled,
47,0000.jpg,822,7,unlabeled,
48,0002.jpg,859,17,unlabeled,
49,0002.jpg,881,17,unlabeled,
50,0000.jpg,884,7,unlabeled,
51,0001.jpg,928,13,unlabeled,
52,0001.jpg,1004,13,unlabeled,
53,0001.jpg,1071,13,unlabeled,
54,0000.jpg,1097,7,unlabeled,
55,0002.jpg,1114,17,unlabeled,
56,0002.jpg,1141,17,unlabeled,
57,0002.jpg,1212,17,unlabeled,
58,0001.jpg,1212,13,unlabeled,
59,0002.jpg,1279,17,unlabeled,
60,0002.jpg,1284,17,unlabeled,
61,0001.jpg,1325,13,unlabeled,
62,0002.jpg,1325,17,unlabeled,
63,0002.jpg,1327,17,unlabeled,
64,0001.jpg,1507,13,unlabeled,
65,0001.jpg,1542,13,unlabeled,
66,0002.jpg,1624,17,unlabeled,
67,0001.jpg,1673,13,unlabeled,
68,0002.jpg,1731,17,unlabeled,
69,0000.jpg,1839,7,unlabeled,
70,0000.jpg,1860,7,unlabeled,
71,0002.jpg,2052,17,unlabeled,
72,0002.jpg,2233,17,unlabeled,
73,0000.jpg,2459,7,unlabeled,
74,0002.jpg,2463,17,unlabeled,
75,0002.jpg,2480,17,unlabeled,
76,0002.jpg,2525,17,unlabeled,
77,0001.jpg,2532,13,unlabeled,
78,0002.jpg,2534,17,unlabeled,
79,0002.jpg,2539,17,unlabeled,
80,0002.jpg,2541,17,unlabeled,
81,0001.jpg,2542,13,unlabeled,
82,0002.jpg,2542,17,unlabeled,
83,0002.jpg,2543,17,unlabeled,
84,0001.jpg,2563,13,unlabeled,
85,0000.jpg,2585,7,unlabeled,
86,0000.jpg,2612,7,unlabeled,
87,0001.jpg,2621,13,unlabeled,
88,0001.jpg,2649,13,unlabeled,
89,0002.jpg,2746,17,unlabeled,
90,0002.jpg,2747,17,unlabeled,
91,0000.jpg,2813,7,unlabeled,
92,0002.jpg,2958,17,unlabeled,
93,0001.jpg,2977,13,unlabeled,
94,0001.jpg,2981,13,unlabeled,
95,0002.jpg,2981,17,unlabeled,
96,0002.jpg,2983,17,unlabeled,
97,0000.jpg,2992,7,unlabeled,
98,0002.jpg,3238,17,unlabeled,
99,0002.jpg,3303,17,unlabeled,
100,0002.jpg,3307,17,unlabeled,
101,0002.jpg,3311,17,unlabeled,
102,0000.jpg,3312,7,unlabeled,
103,0001.jpg,3312,13,unlabeled,
104,0002.jpg,3312,17,unlabeled,
105,0002.jpg,3340,17,unlabeled,
106,0000.jpg,3477,7,unlabeled,
107,0002.jpg,3490,17,unlabeled,
108,0001.jpg,3502,13,unlabeled,
109,0000.jpg,3508,7,unlabeled,
110,0000.jpg,3761,7,unlabeled,
111,0000.jpg,3764,7,unlabeled,
112,0001.jpg,3764,13,unlabeled,
113,0000.jpg,3793,7,unlabeled,
114,0002.jpg,3794,17,unlabeled,
115,0000.jpg,3871,7,unlabeled,
116,0002.jpg,4009,17,unlabeled,
117,0000.jpg,4092,7,unlabeled,
118,0000.jpg,4132,7,unlabeled,
119,0001.jpg,4154,13,unlabeled,
120,0002.jpg,4154,17,unlabeled,
121,0001.jpg,4199,13,unlabeled,
122,0001.jpg,4269,13,unlabeled,
123,0000.jpg,4278,7,unlabeled,
124,0002.jpg,4282,17,unlabeled,
125,0001.jpg,4356,13,unlabeled,
126,0002.jpg,4356,17,unlabeled,
127,0002.jpg,4357,17,unlabeled,
128,0000.jpg,4360,7,unlabeled,
129,0001.jpg,4360,13,unlabeled,
130,0000.jpg,4373,7,unlabeled,
131,0000.jpg,4374,7,unlabeled,
132,0001.jpg,4375,13,unlabeled,
133,0002.jpg,4375,17,unlabeled,
134,0001.jpg,4456,13,unlabeled,
135,0002.jpg,4457,17,unlabeled,
136,0002.jpg,4504,17,unlabeled,
137,0002.jpg,4646,17,unlabeled,
138,0002.jpg,4662,17,unlabeled,
139,0002.jpg,4674,17,unlabeled,
140,0002.jpg,4770,17,unlabeled,
141,0001.jpg,4868,13,unlabeled,
142,0000.jpg,4876,7,unlabeled,
143,0001.jpg,4876,13,unlabeled,
144,0002.jpg,4967,17,unlabeled,
145,0000.jpg,5074,7,unlabeled,
146,0000.jpg,5084,7,unlabeled,
147,0002.jpg,5125,17,unlabeled,
148,0002.jpg,5129,17,unlabeled,
149,0002.jpg,5310,17,unlabeled,
150,0001.jpg,5339,13,unlabeled,
151,0001.jpg,5456,13,unlabeled,
152,0000.jpg,5508,7,unlabeled,
153,0001.jpg,5508,13,unlabeled,
154,0002.jpg,5508,17,unlabeled,
