dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
2953,patches/0001/dom_0000.png,5753,27.11801528930664,0,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2255.0,3169.0,34.970455169677734,13,2254.8220031810106,3168.952247663078,365.65818535665136,0001.jpg,patches/0001/query_0000.png,0.18429094728673853,18,253797.29203144868,3364884.191618035,542057.1195866456,3363524.5152024184,26.76176962077915
2768,patches/0001/dom_0001.png,6556,22.58926010131836,1,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3020.0,2298.0,53.108726501464844,13,3020.103509922753,2297.696047688109,370.2631145196288,0001.jpg,patches/0001/query_0001.png,0.3210939302013738,76,253771.4744827935,3364771.7158072516,542034.2987739994,3363411.431684279,21.71604750679768
2768,patches/0002/dom_0002.png,6556,22.58926010131836,2,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2995.0,3643.0,49.14802932739258,17,2996.0476235626243,3642.904597912529,371.4463473432355,0002.jpg,patches/0002/query_0002.png,1.0519585007306094,76,253771.4744827935,3364771.7158072516,542034.2987739994,3363411.431684279,21.71604750679768
1602,patches/0002/dom_0003.png,7211,25.5550479888916,3,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4751.0,3562.0,31.012720108032227,17,4752.368111955397,3560.8950100767825,368.64395682746994,0002.jpg,patches/0002/query_0003.png,1.758616801043257,97,253608.15621178388,3364679.9759249617,541873.5211133931,3363315.428120957,25.235092038552636
1014,patches/0001/dom_0004.png,6536,20.837011337280273,4,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4980.0,3378.0,30.862407684326172,13,4981.243438008507,3377.798571438668,373.3194215645685,0001.jpg,patches/0001/query_0004.png,1.2596473896769174,100,253525.81376116056,3364774.5194035303,541788.7303410604,3363407.7264259406,20.821623273171554
1529,patches/0000/dom_0005.png,4840,26.745466232299805,5,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3434.0,3177.0,36.27107620239258,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/0000/query_0005.png,1.0597428104571673,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184
2063,patches/0001/dom_0006.png,6672,26.77124786376953,6,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3968.0,2625.0,23.046171188354492,13,3968.276109024716,2625.8041801692743,364.9492440335656,0001.jpg,patches/0001/query_0006.png,0.8502599238960091,134,253672.71962948932,3364755.4517430007,541936.041615775,3363392.562867678,27.796374032443225
2917,patches/0000/dom_0007.png,5922,28.441240310668945,7,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2421.0,905.0,35.15555953979492,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/0000/query_0007.png,0.24687791269740544,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646
3278,patches/0000/dom_0008.png,5792,26.124332427978516,8,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1887.0,841.0,39.69014358520508,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/0000/query_0008.png,1.157145558538857,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429
3278,patches/0001/dom_0009.png,5792,26.124332427978516,9,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1878.0,2902.0,39.190372467041016,13,1878.1747846579042,2902.3597320188146,365.9946557243347,0001.jpg,patches/0001/query_0009.png,0.39994599885374316,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429
