depth,dom_col,dom_patch_rel,dom_row,dom_sampling_mode,dsm_height,dsm_sampling_mode,hit,index,legacy_rotation_convention,query_patch_rel,query_x,query_y,ray_refine_iters,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,rotation_convention,x_raster,xml_projection_rotation,y_raster,z_ray
362.8427734375,2428,patches/dom_00.png,5330,bilinear,28.487489700317383,bilinear,True,0,R_xml_transpose,patches/query_00.png,2640.0,1978.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253723.8147983225,R_world_to_camera = R_xml,3364943.3712444217,28.487440057367223
374.4677734375,3628,patches/dom_01.png,5484,bilinear,15.548311233520508,bilinear,True,1,R_xml_transpose,patches/query_01.png,1320.0,989.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253891.94285292207,R_world_to_camera = R_xml,3364921.7689653332,15.548673664075295
360.0849609375,1961,patches/dom_02.png,6395,bilinear,31.500991821289062,bilinear,True,2,R_xml_transpose,patches/query_02.png,3959.0,989.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253658.47067103666,R_world_to_camera = R_xml,3364794.2416387484,31.501323262836024
366.1689453125,2904,patches/dom_03.png,4245,bilinear,24.899431228637695,bilinear,True,3,R_xml_transpose,patches/query_03.png,1320.0,2966.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253790.53061722746,R_world_to_camera = R_xml,3365095.3811051627,24.899402394923754
364.9931640625,1258,patches/dom_04.png,5178,bilinear,27.616886138916016,bilinear,True,4,R_xml_transpose,patches/query_04.png,3959.0,2966.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253560.0087990002,R_world_to_camera = R_xml,3364964.6138383397,27.616951755233345
364.3232421875,2770,patches/dom_05.png,5936,bilinear,26.504789352416992,bilinear,True,5,R_xml_transpose,patches/query_05.png,2640.0,989.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253771.76637287167,R_world_to_camera = R_xml,3364858.5381692387,26.50523571660034
362.5380859375,2087,patches/dom_06.png,4727,bilinear,29.290420532226562,bilinear,True,6,R_xml_transpose,patches/query_06.png,2640.0,2966.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253676.10908060812,R_world_to_camera = R_xml,3365027.8186880974,29.29133503592692
374.9599609375,3266,patches/dom_07.png,4855,bilinear,15.585891723632812,bilinear,True,7,R_xml_transpose,patches/query_07.png,1320.0,1978.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253841.11872814363,R_world_to_camera = R_xml,3365009.841434632,15.585239433967331
364.4052734375,1615,patches/dom_08.png,5789,bilinear,27.68689727783203,bilinear,True,8,R_xml_transpose,patches/query_08.png,3959.0,1978.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253609.9095514352,R_world_to_camera = R_xml,3364879.0498879068,27.687166197658087
365.2275390625,2564,patches/dom_09.png,5572,bilinear,25.90216064453125,bilinear,True,9,R_xml_transpose,patches/query_09.png,2640.0,1582.0,10,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,R_xml_transpose,253742.93303481358,R_world_to_camera = R_xml,3364909.5306467446,25.90255013958506
