hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
True,368.0,2.9343164508412656,1508,patches/0000/hit_dom_0000.png,4861,25.69925308227539,1.046213150024414,253595.02018926965,3365009.104273609,4.139284047000352,24.415657273398267,2.924716103266917,0,R_xml_transpose,3434.0,3177.0,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/0000/query_0000.png,32.04133987426758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0597428104571673,R_xml_transpose,1529,patches/0000/tiepoint_dom_0000.png,4840,33.51597595214844,26.745466232299805,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184,R_world_to_camera = R_xml
True,364.0,1.6773578819440331,2934,patches/0000/hit_dom_0001.png,5912,27.432958602905273,1.0082817077636719,253794.69790409034,3364861.882099735,2.799202753716942,26.659508680210536,1.680274987885923,1,R_xml_transpose,2421.0,905.0,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/0000/query_0001.png,35.38840103149414,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.24687791269740544,R_xml_transpose,2917,patches/0000/tiepoint_dom_0001.png,5922,29.617435455322266,28.441240310668945,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646,R_world_to_camera = R_xml
True,368.0,3.6812002134118416,3298,patches/0000/hit_dom_0002.png,5773,23.32712745666504,2.7972049713134766,253845.62488137052,3364881.338695993,3.8120820968050557,22.303549406591515,3.691041633242776,2,R_xml_transpose,1887.0,841.0,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/0000/query_0002.png,36.6343994140625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.157145558538857,R_xml_transpose,3278,patches/0000/tiepoint_dom_0002.png,5792,30.518028259277344,26.124332427978516,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429,R_world_to_camera = R_xml
True,374.0,2.0606592774534533,3729,patches/0000/hit_dom_0003.png,4768,17.83835792541504,0.0191802978515625,253906.0747254568,3365022.0634644628,5.331245244033722,16.071021019067473,2.0678192574337686,3,R_xml_transpose,736.0,1772.0,7,736.5174754506636,1771.9276154254583,371.93934072254655,0000.jpg,patches/0000/query_0003.png,26.513214111328125,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.5225135105153543,R_xml_transpose,3737,patches/0000/tiepoint_dom_0003.png,4805,21.713531494140625,17.819177627563477,167,253907.1742690884,3365016.84683915,542163.4135963058,3363659.9913309035,18.13884027650124,R_world_to_camera = R_xml
True,376.0,0.18475026591812593,3468,patches/0000/hit_dom_0004.png,5489,14.51480770111084,0.0955038070678711,253869.537259073,3364921.086594198,3.8078416916188815,14.185680058142395,0.18590099650725733,4,R_xml_transpose,1511.0,1089.0,7,1511.451583996835,1089.5781078512719,375.8152497340819,0000.jpg,patches/0000/query_0004.png,11.793214797973633,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7335780762125592,R_xml_transpose,3464,patches/0000/tiepoint_dom_0004.png,5516,9.544220924377441,14.419303894042969,204,253868.86838018,3364917.3379598632,542127.7695038287,3363559.535065547,14.371581054649653,R_world_to_camera = R_xml
True,368.0,1.3075069433220392,2581,patches/0000/hit_dom_0005.png,6026,24.916431427001953,0.11671066284179688,253745.27433438512,3364845.8923149225,2.554045738958938,23.009394252728043,1.3083229601998596,5,R_xml_transpose,2934.0,1019.0,7,2933.905702748518,1018.5694857317516,366.69249305667796,0000.jpg,patches/0000/query_0005.png,66.53964233398438,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.44072044064529065,R_xml_transpose,2563,patches/0000/tiepoint_dom_0005.png,6027,22.093095779418945,24.799720764160156,214,253742.72740205677,3364845.70182778,542003.6114309955,3363484.6061533373,24.317717212927903,R_world_to_camera = R_xml
True,366.0,1.9252552248780717,2247,patches/0000/hit_dom_0006.png,6193,27.226566314697266,1.1304950714111328,253698.53980411353,3364822.5858297264,3.2700854806790174,25.327192500587557,1.9253137194718306,6,R_xml_transpose,3459.0,1045.0,7,3459.5437708272475,1044.6067102632594,364.0747447751219,0000.jpg,patches/0000/query_0006.png,27.17293930053711,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.6710912975079613,R_xml_transpose,2226,patches/0000/tiepoint_dom_0006.png,6183,23.035818099975586,28.3570613861084,221,253695.53951970127,3364823.886503589,541957.0333619833,3363461.55569511,27.252506220059388,R_world_to_camera = R_xml
True,366.0,0.5788548287828803,2467,patches/0000/hit_dom_0007.png,5114,25.74859046936035,0.037567138671875,253729.30701878783,3364973.6415427946,0.8728450300975475,25.33725421300892,0.5788563329185763,7,R_xml_transpose,2440.0,2218.0,7,2439.754269490228,2218.344932572552,365.4211451712171,0000.jpg,patches/0000/query_0007.png,22.835582733154297,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.4235114674244551,R_xml_transpose,2473,patches/0000/tiepoint_dom_0007.png,5115,11.844891548156738,25.786157608032227,257,253730.17561016046,3364973.5554761114,541987.6814833035,3363612.040718725,25.916110545927495,R_world_to_camera = R_xml
True,364.0,0.17805806188238193,2158,patches/0000/hit_dom_0008.png,6120,28.617759704589844,1.4067821502685547,253685.94663816685,3364832.7070965394,3.053278731170982,27.43936748245727,0.17804825469210073,8,R_xml_transpose,3525.0,1191.0,7,3525.185045261631,1190.6906788343053,364.1780580618824,0000.jpg,patches/0000/query_0008.png,22.714082717895508,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.36044601870285586,R_xml_transpose,2137,patches/0000/tiepoint_dom_0008.png,6113,21.656015396118164,27.21097755432129,259,253683.05778280468,3364833.6955426466,541944.3002622921,3363471.0274708695,27.26131922776517,R_world_to_camera = R_xml
True,368.0,0.3891317905063829,1336,patches/0000/hit_dom_0009.png,6552,25.355636596679688,0.4807777404785156,253570.83813859898,3364772.262421114,6.050512422383337,24.21693273926371,0.38869207621382884,9,R_xml_transpose,4748.0,1262.0,7,4749.414489238517,1261.2416427077926,367.6108682094936,0000.jpg,patches/0000/query_0009.png,30.761262893676758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.6049565690458245,R_xml_transpose,1304,patches/0000/tiepoint_dom_0009.png,6522,28.73002052307129,24.874858856201172,267,253566.43887330565,3364776.416354846,541829.2776356222,3363410.6981498185,24.60562481547754,R_world_to_camera = R_xml
