hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
True,366.67997198504946,1.6142884358907281,1512,patches/0000/hit_dom_0000.png,4862,25.756942749023438,0.9885234832763672,253595.49174988142,3365008.859461546,4.00617083696934,25.731743739687545,1.6086296369776392,0,R_xml_transpose,3434.0,3177.0,7,3433.1145980235024,3176.417661469307,365.06568354915873,0000.jpg,patches/0000/query_0000.png,32.04133987426758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0597428104571673,R_xml_transpose,1529,patches/0000/tiepoint_dom_0000.png,4840,33.240631103515625,26.745466232299805,115,253597.9743928643,3365012.0036448413,541854.5514269767,3363646.9609285328,27.340373376665184,R_world_to_camera = R_xml
True,364.2589118597958,1.9362697417398067,2934,patches/0000/hit_dom_0001.png,5912,27.432958602905273,1.0082817077636719,253794.74642525564,3364861.8259265404,2.8123569432006965,26.400129274018354,1.9396543940781044,1,R_xml_transpose,2421.0,905.0,7,2421.02593635931,904.7544882710672,362.32264211805597,0000.jpg,patches/0000/query_0001.png,35.38840103149414,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.24687791269740544,R_xml_transpose,2917,patches/0000/tiepoint_dom_0001.png,5922,29.617435455322266,28.441240310668945,160,253792.30759863567,3364860.425399392,542052.7680547398,3363500.6330430955,28.33978366809646,R_world_to_camera = R_xml
True,366.05938047881284,1.7405806922246825,3293,patches/0000/hit_dom_0002.png,5771,23.162649154663086,2.9616832733154297,253844.9965947289,3364881.652551072,3.638109759410267,24.24951235611684,1.745078683717452,2,R_xml_transpose,1887.0,841.0,7,1887.4550722961587,839.9360944360917,364.31879978658816,0000.jpg,patches/0000/query_0002.png,36.6343994140625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.157145558538857,R_xml_transpose,3278,patches/0000/tiepoint_dom_0002.png,5792,29.3593692779541,26.124332427978516,166,253842.87962704376,3364878.6937860525,542102.8219585672,3363520.2286322773,25.99459103983429,R_world_to_camera = R_xml
True,371.9189059205399,0.020434802006661812,3722,patches/0000/hit_dom_0003.png,4771,17.55253791809082,0.26663970947265625,253905.07539997404,3365021.6115867225,5.20654117334858,18.159047276240926,0.02020699973968476,3,R_xml_transpose,736.0,1772.0,7,736.5174754506636,1771.9276154254583,371.93934072254655,0000.jpg,patches/0000/query_0003.png,26.513214111328125,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.5225135105153543,R_xml_transpose,3737,patches/0000/tiepoint_dom_0003.png,4805,21.428638458251953,17.819177627563477,167,253907.1742690884,3365016.84683915,542163.4135963058,3363659.9913309035,18.13884027650124,R_world_to_camera = R_xml
True,375.612531736703,0.2027179973788975,3467,patches/0000/hit_dom_0004.png,5489,14.49764633178711,0.07834243774414062,253869.38984133405,3364921.106965643,3.804908185772094,14.57431396668602,0.20273291203636745,4,R_xml_transpose,1511.0,1089.0,7,1511.451583996835,1089.5781078512719,375.8152497340819,0000.jpg,patches/0000/query_0004.png,11.793214797973633,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7335780762125592,R_xml_transpose,3464,patches/0000/tiepoint_dom_0004.png,5516,9.611913681030273,14.419303894042969,204,253868.86838018,3364917.3379598632,542127.7695038287,3363559.535065547,14.371581054649653,R_world_to_camera = R_xml
True,366.0471236558987,0.6453694007792592,2580,patches/0000/hit_dom_0005.png,6022,24.946958541870117,0.14723777770996094,253745.17461270466,3364846.3962566345,2.5438300629747737,24.963902046450187,0.646184833522284,5,R_xml_transpose,2934.0,1019.0,7,2933.905702748518,1018.5694857317516,366.69249305667796,0000.jpg,patches/0000/query_0005.png,66.53964233398438,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.44072044064529065,R_xml_transpose,2563,patches/0000/tiepoint_dom_0005.png,6027,25.64986228942871,24.799720764160156,214,253742.72740205677,3364845.70182778,542003.6114309955,3363484.6061533373,24.317717212927903,R_world_to_camera = R_xml
True,364.0381547865958,0.03658998852614559,2249,patches/0000/hit_dom_0006.png,6188,27.053808212280273,1.303253173828125,253698.68958498002,3364823.2197804777,3.219849525579025,27.288982139652205,0.03647591959281726,6,R_xml_transpose,3459.0,1045.0,7,3459.5437708272475,1044.6067102632594,364.0747447751219,0000.jpg,patches/0000/query_0006.png,27.17293930053711,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.6710912975079613,R_xml_transpose,2226,patches/0000/tiepoint_dom_0006.png,6183,23.704458236694336,28.3570613861084,221,253695.53951970127,3364823.886503589,541957.0333619833,3363461.55569511,27.252506220059388,R_world_to_camera = R_xml
True,365.61262576943767,0.19148059822055075,2467,patches/0000/hit_dom_0007.png,5114,25.74859046936035,0.037567138671875,253729.30402961676,3364973.6068416242,0.8730928129712443,25.724606820882514,0.19150372504498137,7,R_xml_transpose,2440.0,2218.0,7,2439.754269490228,2218.344932572552,365.4211451712171,0000.jpg,patches/0000/query_0007.png,22.835582733154297,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.4235114674244551,R_xml_transpose,2473,patches/0000/tiepoint_dom_0007.png,5115,11.844891548156738,25.786157608032227,257,253730.17561016046,3364973.5554761114,541987.6814833035,3363612.040718725,25.916110545927495,R_world_to_camera = R_xml
True,363.2342297128072,0.9438283490752042,2158,patches/0000/hit_dom_0008.png,6119,28.609167098999023,1.3981895446777344,253686.0319166679,3364832.934614444,3.06993224121505,28.20487996828956,0.94356074052439,8,R_xml_transpose,3525.0,1191.0,7,3525.185045261631,1190.6906788343053,364.1780580618824,0000.jpg,patches/0000/query_0008.png,22.714082717895508,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.36044601870285586,R_xml_transpose,2137,patches/0000/tiepoint_dom_0008.png,6113,21.73554229736328,27.21097755432129,259,253683.05778280468,3364833.6955426466,541944.3002622921,3363471.0274708695,27.26131922776517,R_world_to_camera = R_xml
True,366.6539338747387,0.9569343347549193,1340,patches/0000/hit_dom_0009.png,6547,25.780269622802734,0.9054107666015625,253571.40745376708,3364772.8790974063,6.09909681821537,25.559706459443703,0.9540816439661626,9,R_xml_transpose,4748.0,1262.0,7,4749.414489238517,1261.2416427077926,367.6108682094936,0000.jpg,patches/0000/query_0009.png,30.761262893676758,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.6049565690458245,R_xml_transpose,1304,patches/0000/tiepoint_dom_0009.png,6522,27.92157745361328,24.874858856201172,267,253566.43887330565,3364776.416354846,541829.2776356222,3363410.6981498185,24.60562481547754,R_world_to_camera = R_xml
